start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,baseline_id,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,min_temp_c,thermal_delta_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772508524870851072,1772508525849315840,2026-03-02T21:28:44.870851,2026-03-02T21:28:45.849316,0.9784636399999727,977.9763221740723,48613500,71772755,0.6773252608179803,1162768,3170678,0.3667253502247784,52,8,60,35,0,6.0,16.0,46.5,41.0,,0.07735935142857144,0.0,0.0,0.0,1000.0,4.725821945612552,0,0,0,True,50,47,3,0.7948875427246094,398.4184265136719,398.76437187194824,powersave,baseline_1771716410,1,5035.909242722329,43.81,79.96,43.81,36.14999999999999,1,7.6,366,165.13671875,839.89453125,llama-3.3-70b-versatile,groq,simple,US,linear,0.778997,8.33094013888889e-05,1,c19a7ff7,,,,,,,,,,,,,,
1772508555955319808,1772508558398593024,2026-03-02T21:29:15.955320,2026-03-02T21:29:18.398593,2.443269814000814,2442.7990913391113,190702256,267986362,0.7116117946330418,3948024,11417155,0.3457975301202445,67,0,67,151,0,20.0,77.0,49.5,41.0,,0.13564617535714285,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,296,290,6,0.38170814514160156,2371.5882301330566,-1207.4894905090332,powersave,baseline_1771716410,1,5381.9407607495805,30.69,78.53,30.69,47.84,1,13.9,366,165.4296875,841.0234375,llama-3.3-70b-versatile,groq,simple,US,agentic,6.59606,0.0007054119722222221,1,eeb91786,549.868106842041,279.1099548339844,334.96546745300293,0.0,0.0,0.0,3.0,1.0,1.0,2.0,139.5549774169922,1.0,0.23879999999999998,1.652122
