instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,duration_ms,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
560001410,398987396,1.403556642676502,4105252,8257969,0.4971261093375381,38,0,38,42,0,5.0,39.0,54.0,41.0,,2209.0418103775,5296.701812214285,0.0,0.0,2800.0,4.725821945612552,0,0,0,True,0,0.0,0.0,0.38051605224609375,0.0,114.12215232849121,powersave,1,10156.007865221802,20.0,20.0,1,16.7,361,167.17578125,839.72265625,llama-3.3-70b-versatile,groq,custom,US,linear,1.439176,0.0001539118777777778,377.2151470184326,1,ea661a46,,,,,,,,,,,,,,
321152914,415395588,0.7731254815349652,4296188,14169672,0.30319600905370286,46,1,47,168,0,20.0,36.0,44.1,37.0,,2211.984769695357,5300.157990201072,0.0,0.0,1200.0,4.725821945612552,0,0,0,True,315,42.0,273.0,0.6530284881591797,959.0907096862793,959.9595069885254,powersave,1,4607.708583890322,20.0,20.0,0,0.0,361,167.63671875,840.72265625,llama-3.3-70b-versatile,groq,custom,US,linear,1.592092,0.00017026539444444446,2103.6486625671387,2,ade316f3,,,,,,,,,,,,,,
1520264161,1091053325,1.3933912542725626,11861231,24186765,0.49040171349909756,62,4,66,98,0,9.0,160.0,48.0,42.0,,2210.2085622860714,5298.081358445,0.0,0.0,2600.0,4.725821945612552,0,0,0,True,0,,,0.3402233123779297,2256.991147994995,-1918.1568622589111,powersave,1,8466.505864787005,20.0,20.0,1,12.7,361,167.4296875,839.72265625,llama-3.3-70b-versatile,groq,custom,US,agentic,4.433476,0.0004741356277777778,798.5584735870361,1,1da155a1,127.39014625549316,102.68187522888184,108.7348461151123,0.0,0.0,0.0,3.0,0.0,0.0,1.0,102.68187522888184,1.0,0.12,0.512563
252970291,262043119,0.9653765836911748,4143339,9653528,0.42920463896722527,54,0,54,74,1,13.0,61.0,44.25,37.0,,2213.865177832857,5302.315180325,0.0,0.0,1100.0,4.725821945612552,0,0,0,True,0,,,0.8220672607421875,2256.991147994995,-1887.230634689331,powersave,1,7216.768024994639,20.0,20.0,0,1.2,360,167.78125,840.72265625,llama-3.3-70b-versatile,groq,custom,US,agentic,1.060177,0.00011338004027777776,919.386625289917,2,20ae5b45,147.08495140075684,103.20281982421875,119.42577362060547,0.0,0.0,0.0,3.0,0.0,0.0,1.0,103.20281982421875,1.0,0.12,0.346266
