start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,baseline_id,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,min_temp_c,thermal_delta_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772574501134784000,1772574501898332160,2026-03-03T15:48:21.134784,2026-03-03T15:48:21.898332,0.7635477740004717,762.9473209381104,39991023,95769215,0.417577015745613,1363844,2793111,0.48828850697304904,58,5,63,37,0,12.0,6.0,63.0,45.0,0,0.20728488178571428,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,50,42,8,0.24247169494628906,334.6853256225586,334.9733352661133,performance,baseline_1772573994_280440,1,60240.06997427839,74.34,95.27,74.34,20.929999999999993,1,1.3,353,140.98046875,934.875,llama-3.3-70b-versatile,groq,capital,IN,linear,2.976143,0.0005853081233333333,1,a90d3090,,,,,,,,,,,,,,
1772574566072932096,1772574566803747840,2026-03-03T15:49:26.072932,2026-03-03T15:49:26.803748,0.730815036000422,730.365514755249,15892070,39169774,0.4057227902310593,564684,1220005,0.46285384076294767,57,0,57,34,0,3.0,6.0,51.0,44.0,0,0.3382310042857143,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,50,42,8,0.39076805114746094,314.2819404602051,314.5716190338135,performance,baseline_1772573994_280440,1,3292.8717901007876,63.39,97.66,63.39,34.269999999999996,0,0.0,353,141.01953125,934.875,llama-3.3-70b-versatile,groq,capital,IN,linear,1.165276,0.00022917094666666664,2,cd157605,,,,,,,,,,,,,,
1772574532003969024,1772574535967411968,2026-03-03T15:48:52.003969,2026-03-03T15:48:55.967412,3.9634433560022444,3962.7318382263184,160170337,383083821,0.4181078088390478,5314538,11667672,0.45549257812526783,60,1,61,186,1,12.0,25.0,54.68421052631579,44.0,0,2.2294875510714287,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,364,165,199,0.3273487091064453,3071.638345718384,-1139.641284942627,performance,baseline_1772573994_280440,1,1862.8563075577968,73.63,98.58,72.55,24.950000000000003,1,1.2,353,141.01171875,934.875,llama-3.3-70b-versatile,groq,capital,IN,agentic,4.60717,0.0009060767666666666,1,61de4d69,493.8173294067383,300.14896392822266,1137.986660003662,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.14896392822266,1.0,0.2192,1.361275
1772574596909171200,1772574599444956160,2026-03-03T15:49:56.909171,2026-03-03T15:49:59.444956,2.5357854180001596,2535.266637802124,524397939,1043177416,0.5026929561136128,10751575,25925983,0.41470269420449746,54,0,54,259,1,12.0,25.0,50.333333333333336,46.0,0,0.6491642582142857,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,228,165,63,0.2791881561279297,3998.5859394073486,-2769.3278789520264,performance,baseline_1772573994_280440,1,3389.3870853163803,60.32,96.74,60.32,36.419999999999995,0,1.3,353,141.0234375,934.875,llama-3.3-70b-versatile,groq,capital,IN,agentic,6.397058,0.0012580880733333334,2,13dd8abc,413.6221408843994,300.1101016998291,515.4876708984375,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.1101016998291,1.0,0.1784,1.885242
