instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,duration_ms,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
97965117,154171424,0.6354297992343899,1778913,6848974,0.259734231725803,32,1,33,41,0,9.0,17.0,46.27272727272727,37.0,,1934.7578691107142,8123.5955390925,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,50,47.0,3.0,0.6048679351806641,302.16121673583984,302.5329113006592,powersave,1,8368.582375530234,20.0,20.0,1,7.6,366,164.234375,839.71484375,llama-3.3-70b-versatile,groq,simple,US,linear,1.488833,0.00015922241805555557,712.1875286102295,1,8f576fb3,,,,,,,,,,,,,,
151526431,192026079,0.7890929804383497,3164351,7767376,0.40738996026457325,59,0,59,132,0,19.0,34.0,46.08510638297872,37.0,,1937.7268280207143,8127.2974413103575,0.0,0.0,3000.0,4.725821945612552,0,0,0,True,296,,,0.8111000061035156,2441.960096359253,-1213.3138179779053,powersave,1,4566.921516877141,20.0,20.0,1,2.5,364,164.8828125,840.85546875,llama-3.3-70b-versatile,groq,simple,US,agentic,2.555629,0.0002733103236111111,2606.350898742676,1,902493a9,536.6730690002441,383.7287425994873,307.9984188079834,0.0,0.0,0.0,3.0,1.0,1.0,2.0,191.86437129974365,1.0,0.23879999999999998,1.41416
