instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,duration_ms,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
88760510,156304729,0.5678683592484268,1817802,6159056,0.295142956972627,32,0,32,51,1,9.0,14.0,48.0,37.0,,1021.2047479071429,3852.659858253571,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,50,42.0,8.0,1.321554183959961,297.2540855407715,298.245906829834,powersave,1,7084.76926061513,20.0,20.0,1,1.3,364,164.64453125,839.72265625,llama-3.3-70b-versatile,groq,capital,US,linear,0.845036,9.037190555555556e-05,721.4066982269287,1,0375015a,,,,,,,,,,,,,,
180354670,225107981,0.801191806700092,1714562,5773326,0.2969799384271735,39,0,39,169,0,11.0,22.0,46.25,37.0,,1026.456632115,3859.123698469643,0.0,0.0,2000.0,4.725821945612552,0,0,0,True,50,42.0,8.0,0.5648136138916016,342.7426815032959,343.4624671936035,powersave,1,6738.78357309448,20.0,20.0,0,0.0,365,165.03125,840.72265625,llama-3.3-70b-versatile,groq,capital,US,linear,1.151326,0.00012312791944444444,848.3726978302002,2,ad9086cc,,,,,,,,,,,,,,
287567838,362032337,0.7943153376379194,3880713,11328593,0.3425591333363287,55,4,59,220,0,18.0,32.0,46.0,38.0,,1024.1306297907142,3856.3412505575,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,233,,,0.7793903350830078,1627.784252166748,-516.4532661437988,powersave,1,4675.741118594108,20.0,20.0,1,1.2,365,164.90625,840.72265625,llama-3.3-70b-versatile,groq,capital,US,agentic,2.421404,0.00025895570555555555,2368.8223361968994,1,6ceb252b,492.7868843078613,300.1992702484131,318.30477714538574,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.1992702484131,1.0,0.1799,1.465328
350585079,447491972,0.7834443988639868,5507228,15046806,0.36600644681668654,52,2,54,296,0,20.0,34.0,46.22222222222222,37.0,,1029.1001936814287,3862.3494015864285,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,356,,,0.6806850433349609,3192.741632461548,-1322.0696449279785,powersave,1,3435.20189890774,20.0,20.0,0,0.0,362,165.31640625,840.72265625,llama-3.3-70b-versatile,groq,capital,US,agentic,2.784557,0.0002977929013888889,3895.840883255005,2,172168e8,541.2955284118652,300.2924919128418,1029.047966003418,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.2924919128418,1.0,0.2168,1.819515
