start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,baseline_id,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,min_temp_c,thermal_delta_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772577024774540800,1772577026934547968,2026-03-03T16:30:24.774541,2026-03-03T16:30:26.934548,2.160005680001632,2159.4269275665283,632339709,1151750813,0.5490247559304305,11935332,29320953,0.40705811983669155,49,46,95,267,0,25.0,371.0,66.5,41.0,0,0.12256715642857142,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,35,13,22,0.3752708435058594,991.0452365875244,991.3167953491211,performance,baseline_1772576783_310635,1,5763.566176339884,46.69,75.58,14.1,28.89,1,0.0,356,192.9609375,928.3515625,unknown,local,simple,IN,linear,25.8547,0.005084757666666666,1,9a735aef,,,,,,,,,,,,,,
1772577131422944000,1772577133523072000,2026-03-03T16:32:11.422944,2026-03-03T16:32:13.523072,2.1001289449995966,2099.5335578918457,384004178,641351453,0.5987421969713694,5735270,14315476,0.40063425065292974,64,32,96,397,0,22.0,351.0,61.2,41.0,0,0.42119107214285717,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,35,13,22,56.751251220703125,969.0513610839844,969.3453311920166,performance,baseline_1772576783_310635,1,4543.866405059594,52.59,89.67,11.95,37.08,0,0.0,358,196.953125,932.6171875,unknown,local,simple,IN,linear,22.155459,0.004357240269999999,2,a31aa4fd,,,,,,,,,,,,,,
1772577057040817920,1772577101248611072,2026-03-03T16:30:57.040818,2026-03-03T16:31:41.248611,44.20779226599916,44207.29351043701,6961181026,13015471777,0.5348389321008936,138566376,340751991,0.4066487640860182,302,630,932,3813,0,243.0,9355.0,70.0139534883721,41.0,0,11.205148426785714,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,388,61,327,0.4000663757324219,43980.97014427185,-21931.851387023926,performance,baseline_1772576783_310635,1,4492.561842835076,31.28,99.18,21.2,67.9,1,0.0,356,196.91796875,931.6171875,unknown,local,simple,IN,agentic,585.026699,0.11505525080333333,1,9859a85a,11129.822969436646,10633.971691131592,285.2897644042969,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10633.971691131592,1.0,0.2364,22.722702
1772577163629105152,1772577208399998976,2026-03-03T16:32:43.629105,2026-03-03T16:33:28.399999,44.770892919998005,44770.35140991211,9998753064,16554262145,0.6039987150390749,161571461,421852395,0.3830047260961977,279,720,999,4764,0,262.0,9872.0,70.33944954128441,41.0,0,12.815390196071428,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,388,61,327,0.4787445068359375,65945.97172737122,-43619.23050880432,performance,baseline_1772576783_310635,1,4501.4612048674035,47.85,98.67,14.54,50.82,0,3.7,358,198.453125,933.6171875,unknown,local,simple,IN,agentic,593.265089,0.11667546750333332,2,67cdd86a,11326.830863952637,10710.466384887695,289.409875869751,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10710.466384887695,1.0,0.2364,19.715807
