start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,baseline_id,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,min_temp_c,thermal_delta_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772505954484247040,1772505955062519040,2026-03-02T20:45:54.484247,2026-03-02T20:45:55.062519,0.5782696960013709,577.7618885040283,279846993,458690385,0.6100999762617654,7776282,25495756,0.3050029973616001,62,0,62,26,0,4.0,41.0,61.0,39.0,,0.005896288214285715,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,50,47,3,0.35500526428222656,182.90948867797852,183.25209617614746,powersave,baseline_1771716410,1,7757.521029303321,36.34,59.53,36.34,23.189999999999998,1,16.5,364,164.84765625,839.890625,llama-3.3-70b-versatile,groq,simple,US,linear,3.460447,0.0003700755819444445,1,04dcf470,,,,,,,,,,,,,,
1772506017956801792,1772506018905252096,2026-03-02T20:46:57.956802,2026-03-02T20:46:58.905252,0.9484444030022132,947.8497505187988,571012578,421783534,1.3538048121148323,1962507,6340087,0.30953944322846044,46,6,52,172,1,7.0,17.0,48.0,41.0,,0.06543456678571428,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,50,47,3,22.500038146972656,416.43691062927246,417.3734188079834,powersave,baseline_1771716410,1,4900.565725166454,63.03,77.38,63.03,14.349999999999994,0,0.0,364,165.28515625,841.03125,llama-3.3-70b-versatile,groq,simple,US,linear,1.571797,0.00016809495694444446,2,17738c7f,,,,,,,,,,,,,,
1772505985170285056,1772505987827856128,2026-03-02T20:46:25.170285,2026-03-02T20:46:27.827856,2.6575653170002624,2656.8470001220703,599059870,381698384,1.569458753590112,5044697,11099929,0.45448011424217216,65,4,69,128,0,18.0,31.0,53.583333333333336,40.0,,0.2591273178571429,0.0,0.0,0.0,2700.0,4.725821945612552,0,0,0,True,296,290,6,0.6365776062011719,2660.9530448913574,-1410.2582931518555,powersave,baseline_1771716410,1,3344.565945871828,61.68,80.27,32.54,18.589999999999996,1,0.0,364,165.15234375,841.03125,llama-3.3-70b-versatile,groq,simple,US,agentic,2.681759,0.00028679922638888893,1,cacb0b0c,635.8628273010254,202.34990119934082,412.064790725708,0.0,0.0,0.0,3.0,1.0,1.0,2.0,101.17495059967041,1.0,0.23879999999999998,1.339576
1772506049012275968,1772506051963023872,2026-03-02T20:47:29.012276,2026-03-02T20:47:31.963024,2.9507464970010915,2950.1874446868896,888766190,658150882,1.350398843649958,6273829,15682892,0.40004286199254574,80,8,88,342,0,20.0,50.0,46.714285714285715,39.0,,0.2305680232142857,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,296,290,6,0.7932186126708984,4066.4894580841064,-2652.651786804199,powersave,baseline_1771716410,1,4566.828465175684,49.3,79.18,33.0,29.88000000000001,0,12.8,365,165.546875,841.03125,llama-3.3-70b-versatile,groq,simple,US,agentic,3.420484,0.0003658017611111111,2,174958f2,799.8030185699463,307.60741233825684,306.12993240356445,0.0,0.0,0.0,3.0,1.0,1.0,2.0,153.80370616912842,1.0,0.23879999999999998,1.461194
