start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,baseline_id,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,min_temp_c,thermal_delta_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772638754264995072,1772638756093952000,2026-03-04T09:39:14.264995,2026-03-04T09:39:16.093952,1.8289530229994853,1828.0272483825684,128521637,169031040,0.7603434079326495,2481030,6797722,0.36497962111424975,52,2,54,103,0,10.0,15.0,46.75,47.0,0,0.14987781214285714,0.0,0.0,0.0,2900.0,4.725821945612552,0,0,0,True,246,46,200,0.5984306335449219,800.3847599029541,801.6147613525391,powersave,baseline_1772580114_345201,1,3611.543540087504,61.87,78.79,53.44,16.92000000000001,1,2.5,361,166.125,839.93359375,llama-3.3-70b-versatile,groq,stock_search,US,linear,0.0,0.0,1,10f82b3d,,,,,,,,,,,,,,
1772638821193078016,1772638823074443008,2026-03-04T09:40:21.193078,2026-03-04T09:40:23.074443,1.881360040999425,1880.69748878479,286924898,423271394,0.6778745317242015,4888411,18604601,0.2627527996972362,55,7,62,115,0,20.0,44.0,45.125,48.0,0,0.05530772,0.0,0.0,0.0,3600.0,4.725821945612552,0,0,0,True,248,46,202,0.2865791320800781,842.308759689331,843.0209159851074,powersave,baseline_1772580114_345201,1,6184.407683510735,42.36,64.82,41.32,22.459999999999994,0,6.4,361,166.7734375,841.265625,llama-3.3-70b-versatile,groq,stock_search,US,linear,0.0,0.0,2,b828701d,,,,,,,,,,,,,,
1772638890210536960,1772638892310179072,2026-03-04T09:41:30.210537,2026-03-04T09:41:32.310179,2.099637145000088,2098.9792346954346,1588505650,1553790074,1.0223425136901731,19145354,46274528,0.41373418222655883,55,1,56,247,1,21.0,92.0,50.55555555555556,51.0,0,0.05661465464285714,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,265,46,219,0.8094310760498047,949.4533538818359,950.3107070922852,powersave,baseline_1772580114_345201,1,5587.001436772959,59.24,66.15,21.95,6.910000000000004,0,7.6,361,167.37109375,841.4296875,llama-3.3-70b-versatile,groq,stock_search,US,linear,1.459451,0.0001560801763888889,3,b34e9b7d,,,,,,,,,,,,,,
1772638786204802048,1772638791084878848,2026-03-04T09:39:46.204802,2026-03-04T09:39:51.084879,4.880070375000287,4879.387617111206,937944589,1118248778,0.8387620066775516,10618753,47651001,0.22284427980851862,62,18,80,370,0,44.0,82.0,44.391304347826086,46.0,0,0.30746327714285715,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,423,180,243,0.6475448608398438,4909.868955612183,-2551.2382984161377,powersave,baseline_1772580114_345201,1,4591.764737326743,55.76,75.88,11.58,20.119999999999997,1,1.3,360,166.6328125,841.265625,llama-3.3-70b-versatile,groq,stock_search,US,agentic,0.0,0.0,1,e1978b9f,506.8986415863037,300.4477024078369,1550.3864288330078,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.4477024078369,1.0,0.2369,0.0
1772638853184011008,1772638860101270016,2026-03-04T09:40:53.184011,2026-03-04T09:41:00.101270,6.917254292000507,6916.646957397461,1589555761,1979094389,0.8031732947326344,18421307,66331065,0.2777176425555658,58,1,59,1021,0,68.0,125.0,48.36363636363637,52.0,0,0.3903909382142857,0.0,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,614,179,435,0.7269382476806641,7977.740526199341,-4602.689266204834,powersave,baseline_1772580114_345201,1,4822.423380208283,58.18,78.88,30.6,20.699999999999996,0,0.0,361,167.2578125,841.4296875,llama-3.3-70b-versatile,groq,stock_search,US,agentic,0.192351,2.0570870833333336e-05,2,adbaa51f,505.27334213256836,300.45413970947266,2568.434953689575,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.45413970947266,1.0,0.2942,0.192351
1772638922419422976,1772638928547727104,2026-03-04T09:42:02.419423,2026-03-04T09:42:08.547727,6.128298548000203,6127.569675445557,498093076,765322690,0.6508275300187428,9253120,33757957,0.274101895443495,70,12,82,369,0,41.0,68.0,46.10344827586207,47.0,0,0.5190496317857143,0.0,0.0,0.0,1500.0,4.725821945612552,0,0,0,True,596,180,416,0.6852149963378906,10634.07015800476,-7670.553922653198,powersave,baseline_1772580114_345201,1,3637.983928494305,62.29,79.12,48.66,16.830000000000005,0,1.3,363,167.6796875,842.4296875,llama-3.3-70b-versatile,groq,stock_search,US,agentic,0.0,0.0,3,f20cead8,487.39123344421387,300.4465103149414,2174.837589263916,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.4465103149414,1.0,0.2888,0.0
