start_time_ns,end_time_ns,start_time_iso,end_time_iso,duration_sec,duration_ms,instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
1772468234292000000,1772468235002352896,2026-03-02T10:17:14.292000,2026-03-02T10:17:15.002353,0.7103460819998872,709.7980976104736,383530286,424827837,0.9027899129877405,2698933,8775521,0.30755245187151853,35,1,36,393,0,11.0,21.0,46.0,38.0,,264.4715821832143,456.2943002846429,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,50,42.0,8.0,0.7812976837158203,294.6927547454834,295.7737445831299,powersave,1,7131.605476319476,20.0,20.0,1,2.5,362,164.76953125,839.71875,llama-3.3-70b-versatile,groq,capital,IN,linear,1.190109,0.00023405477000000002,1,bf20cc1c,,,,,,,,,,,,,,
1772468299007219200,1772468299755826944,2026-03-02T10:18:19.007219,2026-03-02T10:18:19.755827,0.7486088690002362,747.422456741333,158983769,181971326,0.8736748392985827,2850211,5890831,0.483838528044685,31,5,36,49,0,5.0,17.0,47.666666666666664,38.0,,268.53258128214287,460.9434055553571,0.0,0.0,2500.0,4.725821945612552,0,0,0,True,50,42.0,8.0,0.5118846893310547,304.9280643463135,305.2947521209717,powersave,1,5039.987715145249,20.0,20.0,0,8.9,362,165.29296875,840.90234375,llama-3.3-70b-versatile,groq,capital,IN,linear,1.216002,0.00023914706,2,6316f102,,,,,,,,,,,,,,
1772468265109592832,1772468268901179136,2026-03-02T10:17:45.109593,2026-03-02T10:17:48.901179,3.79158078600085,3790.9469604492188,633421128,818853687,0.7735461634429937,8614432,34815985,0.2474274963066534,49,1,50,265,0,27.0,52.0,46.111111111111114,37.0,,266.67337137035713,458.77531543642857,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,353,,,0.5826950073242188,2979.067325592041,-1131.037712097168,powersave,1,4072.5972062058377,20.0,20.0,1,1.3,364,165.1875,840.90234375,llama-3.3-70b-versatile,groq,capital,IN,agentic,3.146224,0.0006187573866666667,1,5f50906c,512.2489929199219,300.3520965576172,1035.292387008667,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.3520965576172,1.0,0.2159,2.097389
1772468329861648128,1772468332554071808,2026-03-02T10:18:49.861648,2026-03-02T10:18:52.554072,2.692421615999592,2691.8516159057617,3198873449,3330983784,0.9603389438175661,40981832,123950564,0.33063046005986707,51,13,64,280,1,29.0,276.0,53.92307692307692,37.0,,269.66206841142855,462.20300605964286,0.0,0.0,3500.0,4.725821945612552,0,0,0,True,232,,,0.25534629821777344,3972.8689193725586,-2674.2947101593018,powersave,1,6583.2009072451,20.0,20.0,0,7.5,362,165.484375,840.90234375,llama-3.3-70b-versatile,groq,capital,IN,agentic,17.957427,0.0035316273099999995,2,925fa980,579.4739723205566,300.1978397369385,418.81847381591797,0.0,0.0,0.0,2.0,1.0,1.0,1.0,300.1978397369385,1.0,0.1796,2.149184
