instructions,cycles,ipc,cache_misses,cache_references,cache_miss_rate,context_switches_voluntary,context_switches_involuntary,total_context_switches,thread_migrations,run_queue_length,kernel_time_ms,user_time_ms,frequency_mhz,package_temp_celsius,baseline_temp_celsius,c2_time_seconds,c3_time_seconds,c6_time_seconds,c7_time_seconds,ring_bus_freq_mhz,wakeup_latency_us,thermal_during_experiment,thermal_now_active,thermal_since_boot,experiment_valid,total_tokens,prompt_tokens,completion_tokens,dns_latency_ms,api_latency_ms,compute_time_ms,governor,turbo_enabled,interrupt_rate,start_temp_c,max_temp_c,is_cold_start,background_cpu_percent,process_count,rss_memory_mb,vms_memory_mb,model_name,provider,task_id,country_code,workflow_type,energy_j,carbon_g,duration_ms,run_number,experiment_id,planning_time_ms,execution_time_ms,synthesis_time_ms,phase_planning_ratio,phase_execution_ratio,phase_synthesis_ratio,llm_calls,tool_calls,tools_used,steps,avg_step_time_ms,complexity_level,complexity_score,orchestration_tax_j
402141060,244512459,1.6446649043760997,2386783,5388819,0.4429139297497281,37,0,37,31,0,3.0,28.0,48.0,41.0,,2079.5868118707144,5145.791372053572,0.0,0.0,2600.0,4.725821945612552,0,0,0,True,0,0.0,0.0,0.33974647521972656,0.0,111.59920692443848,powersave,1,8072.636586032659,20.0,20.0,1,10.1,364,167.35546875,839.74609375,llama-3.3-70b-versatile,groq,custom,US,linear,0.984614,0.00010529899722222223,370.6347942352295,1,d21fd809,,,,,,,,,,,,,,
887696991,793491587,1.1187226248436581,4360939,14827895,0.2941037146540355,39,1,40,531,0,18.0,40.0,45.63636363636363,36.0,,2084.0215246407142,5150.965342579286,0.0,0.0,1400.0,4.725821945612552,0,0,0,True,556,39.0,517.0,0.7636547088623047,1132.5643062591553,1133.5599422454834,powersave,1,4049.7183846803523,20.0,20.0,0,1.3,364,167.79296875,840.74609375,llama-3.3-70b-versatile,groq,custom,US,linear,1.814746,0.00019407700277777776,2446.342945098877,2,0d284aea,,,,,,,,,,,,,,
55948897,113195807,0.4942665146598584,1312046,5175951,0.25348887576408663,70,0,70,42,0,9.0,18.0,46.5,38.0,,2081.275196229286,5147.619000809643,0.0,0.0,1200.0,4.725821945612552,0,0,0,True,0,,,0.9710788726806641,912.9672050476074,-564.4817352294922,powersave,1,4708.280596981691,20.0,20.0,1,1.3,364,167.59765625,839.74609375,llama-3.3-70b-versatile,groq,custom,US,agentic,0.575105,6.150428472222223e-05,856.5759658813477,1,7cda9b75,132.40623474121094,108.37960243225098,107.65910148620605,0.0,0.0,0.0,3.0,0.0,0.0,1.0,108.37960243225098,1.0,0.12,0.311505
26375751,42139800,0.6259106830122592,716838,1725810,0.4153632207485181,52,5,57,40,0,7.0,16.0,45.333333333333336,37.0,,2086.191949065,5153.529040320715,0.0,0.0,1200.0,4.725821945612552,0,0,0,True,0,,,0.6051063537597656,912.9672050476074,-597.1708297729492,powersave,1,5643.1763404084095,20.0,20.0,0,12.7,365,167.93359375,840.74609375,llama-3.3-70b-versatile,groq,custom,US,agentic,0.536491,5.737473194444445e-05,796.3600158691406,2,1389b095,106.73356056213379,86.42315864562988,122.60723114013672,0.0,0.0,0.0,3.0,0.0,0.0,1.0,86.42315864562988,1.0,0.12,0.213428
